Professor_ID,First_Name,Last_Name,Academic_Rank,Department,Tenure_Status,Salary,Office_Location,Hire_Year
1001,Sebastian,Montgomery,Associate Professor,Psychology,Non-Tenure Track,109425,Founders Hall Room 391,2011
1002,Cecilia,Kingsley,Full Professor,Economics,Tenure-Track,103756,Academic Quad B Room 351,2022
1003,August,Mercer,Full Professor,Mathematics,Tenure-Track,83888,Turing Tower Room 463,2014
1004,Theodore,Montgomery,Professor Emeritus,Chemistry,Tenure-Track,100735,Academic Quad B Room 266,2018
1005,Genevieve,Vance,Professor Emeritus,Psychology,Tenured,112295,Turing Tower Room 301,1999
1006,Sebastian,Montgomery,Assistant Professor,Literature,Tenured,148042,Humanities Hall Room 118,1996
1007,Silas,Hawthorne,Assistant Professor,Computer Science,Tenured,150999,Academic Quad B Room 272,2000
1008,Theodore,Barrett,Associate Professor,Psychology,Tenured,82955,Research Complex Room 341,2015
1009,Theodore,Hayes,Assistant Professor,Mathematics,Tenured,102841,Founders Hall Room 225,1996
1010,Clara,Montgomery,Full Professor,Computer Science,Non-Tenure Track,135640,Humanities Hall Room 247,2007
1011,Genevieve,Vance,Professor Emeritus,Biology,Non-Tenure Track,130510,Founders Hall Room 416,2024
1012,Julian,Hawthorne,Assistant Professor,Psychology,Tenured,99911,Science Center Room 100,2005
1013,Eleanor,Hayes,Assistant Professor,History,Tenure-Track,124031,Turing Tower Room 447,2005
1014,Cordelia,Sinclair,Associate Professor,Computer Science,Tenured,153726,Academic Quad B Room 290,2010
1015,Beatrice,Blackwood,Adjunct Professor,Mathematics,Non-Tenure Track,72357,Founders Hall Room 468,2005
1016,Eleanor,Barrett,Associate Professor,Physics,Non-Tenure Track,97479,Science Center Room 411,2013
1017,Arthur,Barrett,Full Professor,Chemistry,Tenure-Track,126476,Science Center Room 216,2009
1018,Cordelia,Sutherland,Professor Emeritus,Philosophy,Non-Tenure Track,109811,Academic Quad B Room 157,2019
1019,Cordelia,Prescott,Associate Professor,Economics,Tenured,101208,Founders Hall Room 272,2017
1020,Jasper,Ramsey,Assistant Professor,Philosophy,Tenure-Track,85150,Research Complex Room 416,2017
1021,Adelaide,Sinclair,Professor Emeritus,Mathematics,Tenured,136180,Research Complex Room 179,2010
1022,Evangeline,Dalton,Professor Emeritus,Literature,Tenured,108286,Academic Quad B Room 312,2025
1023,August,Ellington,Assistant Professor,Literature,Tenure-Track,133450,Turing Tower Room 351,2005
1024,August,Sterling,Associate Professor,Physics,Tenured,86352,Research Complex Room 263,2016
1025,Silas,Hawthorne,Assistant Professor,Economics,Non-Tenure Track,120069,Turing Tower Room 246,2010
1026,Cordelia,Sinclair,Adjunct Professor,History,Tenured,79397,Founders Hall Room 146,2002
1027,Cecilia,Prescott,Professor Emeritus,Physics,Tenure-Track,106555,Science Center Room 404,1998
1028,Julian,Barrett,Visiting Professor,Philosophy,Tenure-Track,111959,Academic Quad B Room 242,2002
1029,Gabriel,Gallagher,Visiting Professor,Physics,Tenure-Track,65728,Science Center Room 472,1998
1030,Silas,Sterling,Full Professor,Philosophy,Tenured,115517,Academic Quad B Room 473,2018
1031,Sebastian,Prescott,Assistant Professor,Computer Science,Tenure-Track,131234,Turing Tower Room 243,2019
